Simbolo 	 Ocurrencias
b		   1
c		   1
d		   1
e		   2
f		   6
g		   3
h		   2
i		   1
k		  12
l		   4
n		   1
o		   5
q		   6
r		   2
s		   1
t		   7
x		   2
z		   2


Simbolo 	 Frecuencia
k		0.203390
t		0.118644
f		0.101695
q		0.101695
o		0.084746
l		0.067797
g		0.050847
e		0.033898
h		0.033898
r		0.033898
x		0.033898
z		0.033898
b		0.016949
c		0.016949
d		0.016949
i		0.016949
n		0.016949
s		0.016949


Digrama 	 Ocurrencias
bo		   1
co		   1
dq		   1
et		   1
ex		   1
fg		   2
fk		   1
fl		   1
fo		   1
ft		   1
gf		   1
gt		   2
ht		   2
ig		   1
kd		   1
kf		   3
kk		   1
kn		   1
ko		   1
kq		   3
kr		   1
ks		   1
le		   1
lh		   1
lt		   1
lz		   1
nz		   1
oi		   1
ok		   2
ol		   1
or		   1
qc		   1
qf		   2
qk		   2
rq		   1
rx		   1
sq		   1
tb		   1
te		   1
tk		   3
tl		   2
xk		   2
zk		   1
zo		   1


Digrama 	 Frecuencia
kf		0.051724
kq		0.051724
tk		0.051724
fg		0.034483
gt		0.034483
ht		0.034483
ok		0.034483
qf		0.034483
qk		0.034483
tl		0.034483
xk		0.034483
bo		0.017241
co		0.017241
dq		0.017241
et		0.017241
ex		0.017241
fk		0.017241
fl		0.017241
fo		0.017241
ft		0.017241
gf		0.017241
ig		0.017241
kd		0.017241
kk		0.017241
kn		0.017241
ko		0.017241
kr		0.017241
ks		0.017241
le		0.017241
lh		0.017241
lt		0.017241
lz		0.017241
nz		0.017241
oi		0.017241
ol		0.017241
or		0.017241
qc		0.017241
rq		0.017241
rx		0.017241
sq		0.017241
tb		0.017241
te		0.017241
zk		0.017241
zo		0.017241


Trigrama 	 Ocurrencias
bol		   1
cor		   1
dqf		   1
etk		   1
exk		   1
fgt		   2
fkq		   1
fle		   1
foi		   1
fte		   1
gfk		   1
gtl		   2
htk		   2
igf		   1
kdq		   1
kfg		   2
kfo		   1
kko		   1
knz		   1
kok		   1
kqf		   1
kqk		   2
krx		   1
ksq		   1
lex		   1
lht		   1
ltb		   1
lzo		   1
nzk		   1
oig		   1
okf		   2
olz		   1
orq		   1
qco		   1
qfl		   1
qft		   1
qkf		   1
qks		   1
rxk		   1
sqc		   1
tbo		   1
tet		   1
tkd		   1
tkn		   1
tkr		   1
tlh		   1
tlt		   1
xkk		   1
xkq		   1
zkq		   1
zok		   1


Trigrama 	 Frecuencia
fgt		0.035088
gtl		0.035088
htk		0.035088
kfg		0.035088
kqk		0.035088
okf		0.035088
bol		0.017544
cor		0.017544
dqf		0.017544
etk		0.017544
exk		0.017544
fkq		0.017544
fle		0.017544
foi		0.017544
fte		0.017544
gfk		0.017544
igf		0.017544
kdq		0.017544
kfo		0.017544
kko		0.017544
knz		0.017544
kok		0.017544
kqf		0.017544
krx		0.017544
ksq		0.017544
lex		0.017544
lht		0.017544
ltb		0.017544
lzo		0.017544
nzk		0.017544
oig		0.017544
olz		0.017544
orq		0.017544
qco		0.017544
qfl		0.017544
qft		0.017544
qkf		0.017544
qks		0.017544
rxk		0.017544
sqc		0.017544
tbo		0.017544
tet		0.017544
tkd		0.017544
tkn		0.017544
tkr		0.017544
tlh		0.017544
tlt		0.017544
xkk		0.017544
xkq		0.017544
zkq		0.017544
zok		0.017544
