Las letras que más ocurren son: e, a, o, r, s, i.

Simbolo 	 Ocurrencias
a		3189
b		 336
c		1326
d		1192
e		3309
f		 236
g		 341
h		 169
i		1854
j		 108
k		  11
l		1422
m		 770
n		1834
o		2376
p		 645
q		 228
r		1861
s		1860
t		1293
u		1080
v		 212
w		  20
x		 121
y		 206
z		 104
ñ		  17


Simbolo 	 Frecuencia
e		0.126685
a		0.122090
o		0.090965
r		0.071248
s		0.071210
i		0.070980
n		0.070214
l		0.054441
c		0.050766
t		0.049502
d		0.045636
u		0.041348
m		0.029479
p		0.024694
g		0.013055
b		0.012864
f		0.009035
q		0.008729
v		0.008116
y		0.007887
h		0.006470
x		0.004632
j		0.004135
z		0.003982
w		0.000766
ñ		0.000651
k		0.000421

Los digramas que más ocurren son: de, en, es, ra.

Digrama 	 Ocurrencias
aa		  57
ab		 119
ac		 266
ad		 328
ae		 119
af		  48
ag		  31
ah		  24
ai		  28
aj		  49
al		 327
am		 151
an		 312
ao		  24
ap		 111
aq		  76
ar		 379
as		 431
at		  84
au		  76
av		  63
ax		   4
ay		  53
az		  18
añ		  11
ba		  94
be		  47
bi		  39
bj		   2
bl		  45
bm		   1
bo		  22
br		  56
bs		   2
bt		   7
bu		  21
ca		 215
cc		  21
cd		   2
ce		 103
cg		   1
ch		  46
ci		 316
ck		   2
cl		  51
cm		   4
cn		  12
co		 319
cp		   4
cr		  83
cs		   6
ct		  52
cu		  88
cy		   1
da		 146
dc		   4
dd		   5
de		 563
dh		   2
di		 139
dj		   2
dl		   2
dm		   2
dn		   2
do		 276
dp		   4
dq		   1
dr		   9
ds		   5
dt		   1
du		  28
dy		   1
ea		 101
eb		  33
ec		 228
ed		 122
ee		 131
ef		  24
eg		  62
eh		  32
ei		  31
ej		  40
ek		   1
el		 457
em		 148
en		 553
eo		  34
ep		  72
eq		  25
er		 406
es		 547
et		  91
eu		  60
ev		  38
ew		   2
ex		  42
ey		  11
ez		  14
eñ		   4
fa		  21
fe		  18
ff		   1
fi		  62
fl		   7
fo		  37
fr		  61
fs		   1
ft		   7
fu		  20
fv		   1
ga		  46
gc		   1
gd		   2
ge		  33
gg		   1
gh		   2
gi		  31
gl		  13
gm		   7
gn		  17
go		  39
gr		  75
gs		   2
gu		  72
ha		  80
hd		   1
he		  26
hi		  28
hk		   1
hl		   1
ho		  28
ht		   1
hu		   3
ia		 200
ib		  60
ic		 181
id		  74
ie		 137
if		  71
ig		  67
ih		   2
ii		  15
ij		   4
il		  59
im		  73
in		 237
io		 233
ip		  59
iq		   4
ir		  51
is		 122
it		  85
iu		   4
iv		  26
ix		  31
iy		   1
iz		  56
iñ		   1
ja		  18
je		  62
jl		   1
jo		  17
ju		  10
ka		   2
ke		   2
kh		   1
ki		   3
kn		   1
kr		   1
kx		   1
la		 410
lb		   4
lc		  47
ld		  36
le		 170
lf		  15
lg		  33
lh		   4
li		 177
lj		   1
