Bloque 1
Simbolo	Indice
0	0.030075
1	0.025719
2	0.053837
3	0.036745
4	0.036302
5	0.033290
6	0.079617
7	0.036380
8	0.034619
9	0.033693
10	0.037099
11	0.020656
12	0.031208
13	0.030117
14	0.027497
15	0.038327
16	0.050368
17	0.038483
18	0.035408
19	0.050402
20	0.056842
21	0.027666
22	0.034587
23	0.034333
24	0.030745
25	0.028867
26	0.027119
Maximo en el simbolo: g

Bloque 2
Simbolo	Indice
0	0.070945
1	0.039545
2	0.033357
3	0.032335
4	0.042727
5	0.027984
6	0.024572
7	0.034597
8	0.029367
9	0.038029
10	0.040868
11	0.038570
12	0.033881
13	0.047571
14	0.051440
15	0.031557
16	0.038096
17	0.037713
18	0.037087
19	0.030220
20	0.032363
21	0.029683
22	0.023281
23	0.044461
24	0.031969
25	0.038410
26	0.039371
Maximo en el simbolo: a

Bloque 3
Simbolo	Indice
0	0.039010
1	0.071331
2	0.036088
3	0.033443
4	0.040427
5	0.037737
6	0.028599
7	0.029918
8	0.032904
9	0.029524
10	0.040999
11	0.039598
12	0.032623
13	0.035282
14	0.051715
15	0.046173
16	0.029125
17	0.043079
18	0.038160
19	0.034294
20	0.031824
21	0.031105
22	0.029127
23	0.026839
24	0.047258
25	0.031846
26	0.031974
Maximo en el simbolo: b

Bloque 4
Simbolo	Indice
0	0.037256
1	0.040473
2	0.033988
3	0.041979
4	0.050200
5	0.035182
6	0.039759
7	0.040093
8	0.039609
9	0.027934
10	0.033371
11	0.029953
12	0.026012
13	0.043210
14	0.034017
15	0.033986
16	0.034640
17	0.072266
18	0.039333
19	0.036869
20	0.034280
21	0.049616
22	0.025566
23	0.029049
24	0.032501
25	0.029640
26	0.029219
Maximo en el simbolo: r

Bloque 5
Simbolo	Indice
0	0.027298
1	0.028607
2	0.030546
3	0.027429
4	0.050155
5	0.033610
6	0.035441
7	0.037313
8	0.075322
9	0.036546
10	0.031524
11	0.034536
12	0.040347
13	0.028474
14	0.029814
15	0.030274
16	0.027482
17	0.041138
18	0.045103
19	0.033094
20	0.033675
21	0.051873
22	0.054128
23	0.027833
24	0.036953
25	0.036775
26	0.034714
Maximo en el simbolo: i

Bloque 6
Simbolo	Indice
0	0.043397
1	0.035460
2	0.035903
3	0.039933
4	0.070798
5	0.038363
6	0.033092
7	0.035647
8	0.042540
9	0.025588
10	0.029828
11	0.027265
12	0.029506
13	0.036225
14	0.042574
15	0.036838
16	0.034831
17	0.048329
18	0.048746
19	0.035259
20	0.040728
21	0.042258
22	0.033164
23	0.028859
24	0.028050
25	0.028579
26	0.028240
Maximo en el simbolo: e

Bloque 7
Simbolo	Indice
0	0.037647
1	0.044462
2	0.033552
3	0.028502
4	0.027760
5	0.030659
6	0.030265
7	0.041775
8	0.035793
9	0.033363
10	0.036242
11	0.068297
12	0.039390
13	0.034364
14	0.042200
15	0.044065
16	0.023627
17	0.035202
18	0.030540
19	0.027516
20	0.030583
21	0.041238
22	0.039222
23	0.034618
24	0.046867
25	0.049909
26	0.032343
Maximo en el simbolo: l

